Implicated;Position Culture;Position H Food;Position A Food;Protest;Media Communicate;Info Active;Reduce Phytosanitary;Reduce Hunger;Improve Farmer Life;Lead to Progress;Danger for Health;Danger Environment;Financial Risk Farmer;Useless Practice;Grandparents Healthier;Gender;Age;Profession;Related AgriFood;Political Party
Not at all;Somewhat against;Totally opposed;Totally opposed;No;Yes;No;No;Yes;No;No;No;Yes;No;No;Yes;H;"[26; 40]";Retailer ;No;Greens
Certain extent;Favourable;Somewhat against;Favourable;No;Yes;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;H;> 60;Senior management ;No;Right
A little;Favourable;Somewhat against;Somewhat against;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;F;"[41; 60]";Technician;No;Right
A little;Favourable;Favourable;Very favourable;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;H;"[41; 60]";Senior management ;No;Right
Certain extent;Somewhat against;Favourable;Favourable;No;No;No;Yes;Yes;No;Yes;No;No;Yes;No;No;F;"[41; 60]";Unemployed;No;Right
A lot;Favourable;Favourable;Very favourable;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;H;< 25;Student;Yes;Right
Certain extent;Favourable;Favourable;Very favourable;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;H;< 25;Student;Yes;Right
Not at all;Favourable;Favourable;Favourable;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;Yes;H;< 25;Student;No;Right
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;No;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;F;< 25;Student;No;Right
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;F;< 25;Student;No;Left
A little;Favourable;Favourable;Very favourable;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;Yes;F;< 25;Student;No;Right
Certain extent;Favourable;Favourable;Favourable;No;Yes;No;Yes;Yes;No;Yes;No;No;Yes;No;No;F;< 25;Student;Yes;Liberal
Certain extent;Favourable;Favourable;Favourable;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;H;< 25;Student;Yes;Left
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;No;F;< 25;Student;Yes;Extreme left
A little;Somewhat against;Somewhat against;Somewhat against;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;F;< 25;Student;Yes;Left
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;F;< 25;Student;Yes;Left
Certain extent;Favourable;Somewhat against;Favourable;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;F;< 25;Student;Yes;Left
Certain extent;Somewhat against;Somewhat against;Favourable;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;F;< 25;Student;Yes;Left
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;No;No;No;Yes;No;Yes;Yes;No;No;No;Yes;F;< 25;Student;Yes;Left
Certain extent;Somewhat against;Totally opposed;Totally opposed;No;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;F;< 25;Student;Yes;Left
A little;Favourable;Somewhat against;Favourable;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;F;< 25;Student;Yes;Liberal
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;F;< 25;Student;Yes;Right
Certain extent;Somewhat against;Totally opposed;Totally opposed;No;No;No;Yes;No;No;Yes;Yes;Yes;No;No;Yes;F;< 25;Student;Yes;Liberal
A lot;Somewhat against;Totally opposed;Somewhat against;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;Yes;F;< 25;Student;Yes;Liberal
A little;Somewhat against;Somewhat against;Somewhat against;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;F;< 25;Student;Yes;Liberal
A little;Somewhat against;Somewhat against;Somewhat against;No;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;No;H;< 25;Student;Yes;Left
Certain extent;Favourable;Totally opposed;Totally opposed;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;F;< 25;Student;Yes;Liberal
Certain extent;Somewhat against;Totally opposed;Totally opposed;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;Yes;F;< 25;Student;Yes;Liberal
Certain extent;Somewhat against;Totally opposed;Somewhat against;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;F;< 25;Student;Yes;Liberal
Certain extent;Somewhat against;Totally opposed;Totally opposed;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;F;< 25;Student;Yes;Liberal
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;H;< 25;Student;Yes;Extreme left
A little;Somewhat against;Somewhat against;Somewhat against;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;F;< 25;Student;Yes;Left
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;H;< 25;Student;Yes;Liberal
A lot;Totally opposed;Totally opposed;Somewhat against;No;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;H;< 25;Student;Yes;Left
A little;Somewhat against;Totally opposed;Totally opposed;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No;H;< 25;Student;Yes;Right
A little;Somewhat against;Somewhat against;Somewhat against;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;Yes;H;< 25;Student;Yes;Extreme left
Certain extent;Somewhat against;Somewhat against;Somewhat against;Yes;No;No;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;H;< 25;Student;Yes;Liberal
Not at all;Favourable;Somewhat against;Favourable;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;F;< 25;Student;Yes;Right
Certain extent;Favourable;Favourable;Favourable;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;Yes;H;< 25;Student;Yes;Left
A little;Favourable;Favourable;Favourable;No;No;No;Yes;No;No;No;No;No;No;No;Yes;F;< 25;Student;Yes;Right
A little;Somewhat against;Somewhat against;Favourable;No;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;F;< 25;Student;Yes;Right
A little;Somewhat against;Somewhat against;Somewhat against;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;H;< 25;Student;Yes;Liberal
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;H;"[26; 40]";Student;No;Extreme left
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;No;H;"[26; 40]";Unemployed;No;Extreme left
Not at all;Totally opposed;Totally opposed;Totally opposed;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;F;> 60;Retired;No;Liberal
A lot;Totally opposed;Totally opposed;Totally opposed;No;No;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No;F;"[41; 60]";Retired;No;Left
A lot;Totally opposed;Totally opposed;Totally opposed;No;No;Yes;No;No;No;Yes;Yes;Yes;Yes;No;Yes;F;"[41; 60]";Civil servant;No;Greens
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;F;"[26; 40]";Technician;No;Extreme left
A little;Totally opposed;Totally opposed;Totally opposed;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;H;"[26; 40]";Civil servant;No;Liberal
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;No;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;F;"[26; 40]";Other;No;Right
A lot;Totally opposed;Totally opposed;Totally opposed;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;Yes;F;"[41; 60]";Technician;No;Left
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;H;"[26; 40]";Other;No;Left
Not at all;Somewhat against;Totally opposed;Somewhat against;No;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;H;"[41; 60]";Unemployed;No;Right
Certain extent;Somewhat against;Somewhat against;Favourable;No;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;Yes;F;> 60;Retired;No;Liberal
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;H;"[26; 40]";Other;No;Left
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;F;< 25;Other;No;Extreme left
A little;Somewhat against;Totally opposed;Somewhat against;No;No;Yes;No;No;No;Yes;Yes;Yes;Yes;No;Yes;F;< 25;Other;No;Left
A little;Somewhat against;Somewhat against;Somewhat against;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;H;"[41; 60]";Senior management ;No;Left
Certain extent;Favourable;Favourable;Very favourable;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;H;"[41; 60]";Senior management ;No;Liberal
A lot;Totally opposed;Totally opposed;Totally opposed;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;Yes;F;> 60;Retired;No;Left
Certain extent;Favourable;Favourable;Favourable;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;H;"[26; 40]";Senior management ;Yes;Liberal
Not at all;Favourable;Favourable;Favourable;No;Yes;Yes;No;No;No;Yes;No;No;Yes;No;No;H;"[26; 40]";Senior management ;Yes;Left
Not at all;Favourable;Favourable;Favourable;No;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;H;"[41; 60]";Senior management ;Yes;Liberal
Not at all;Favourable;Favourable;Totally opposed;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;H;< 25;Student;No;Liberal
A lot;Favourable;Favourable;Favourable;No;No;Yes;No;Yes;No;Yes;No;No;No;No;Yes;F;> 60;Retired;No;Liberal
A little;Favourable;Somewhat against;Somewhat against;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;F;< 25;Student;No;Right
A little;Favourable;Somewhat against;Favourable;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;H;< 25;Student;No;Right
A little;Somewhat against;Somewhat against;Somewhat against;No;Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;H;< 25;Civil servant;No;Liberal
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;No;Yes;H;"[41; 60]";Senior management ;No;Greens
A little;Somewhat against;Totally opposed;Totally opposed;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;No;H;< 25;Student;No;Left
A little;Somewhat against;Totally opposed;Somewhat against;No;No;No;Yes;No;No;No;No;Yes;No;No;Yes;F;< 25;Student;No;Left
Certain extent;Favourable;Favourable;Favourable;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;H;"[26; 40]";Senior management ;Yes;Left
A little;Somewhat against;Somewhat against;Somewhat against;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;H;"[26; 40]";Technician;Yes;Left
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;No;No;No;No;Yes;Yes;No;No;No;No;F;< 25;Senior management ;No;Left
A little;Favourable;Favourable;Favourable;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;H;"[26; 40]";Senior management ;Yes;Right
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;H;< 25;Technician;Yes;Left
Not at all;Favourable;Favourable;Favourable;No;Yes;No;Yes;Yes;No;Yes;Yes;No;No;No;No;H;"[26; 40]";Senior management ;Yes;Right
Certain extent;Favourable;Favourable;Favourable;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;H;"[26; 40]";Senior management ;Yes;Right
Certain extent;Favourable;Favourable;Favourable;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;H;< 25;Student;No;Right
Certain extent;Favourable;Favourable;Favourable;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;F;< 25;Student;Yes;Liberal
Not at all;Somewhat against;Somewhat against;Favourable;No;No;No;No;No;No;No;No;No;No;No;Yes;F;< 25;Student;No;Right
Certain extent;Favourable;Favourable;Favourable;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;Yes;F;> 60;Retired;No;Right
Not at all;Favourable;Somewhat against;Somewhat against;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;F;> 60;Retired;No;Right
A little;Favourable;Favourable;Favourable;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;H;< 25;Student;No;Liberal
A lot;Very favourable;Favourable;Very favourable;No;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;No;No;H;< 25;Student;No;Right
Certain extent;Somewhat against;Somewhat against;Very favourable;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;F;< 25;Student;No;Right
Certain extent;Favourable;Somewhat against;Somewhat against;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;H;< 25;Student;No;Right
Not at all;Favourable;Favourable;Favourable;No;No;No;Yes;No;Yes;Yes;No;Yes;Yes;No;Yes;H;< 25;Student;No;Right
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;H;< 25;Student;No;Liberal
Not at all;Favourable;Somewhat against;Favourable;No;Yes;No;No;Yes;No;No;No;No;Yes;No;No;F;"[41; 60]";Unemployed;No;Right
A little;Favourable;Favourable;Favourable;No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;Yes;F;> 60;Retired;No;Right
Not at all;Favourable;Favourable;Favourable;No;Yes;No;No;Yes;Yes;Yes;No;No;Yes;No;Yes;F;< 25;Student;No;Right
A lot;Very favourable;Favourable;Very favourable;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;H;< 25;Student;Yes;Right
Certain extent;Somewhat against;Totally opposed;Favourable;No;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;H;< 25;Student;Yes;Right
A lot;Favourable;Somewhat against;Favourable;No;No;Yes;Yes;No;Yes;No;No;Yes;No;No;No;F;"[26; 40]";Senior management ;No;Liberal
A lot;Totally opposed;Totally opposed;Totally opposed;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;H;"[41; 60]";Civil servant;Yes;Right
A lot;Somewhat against;Somewhat against;Somewhat against;No;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;Yes;F;"[26; 40]";Technician;No;Left
A lot;Somewhat against;Somewhat against;Somewhat against;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;F;"[41; 60]";Other;No;Greens
A little;Totally opposed;Totally opposed;Totally opposed;No;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;F;< 25;Other;No;Left
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;No;No;No;No;Yes;Yes;No;No;No;Yes;F;"[26; 40]";Retailer ;No;Left
A little;Somewhat against;Somewhat against;Somewhat against;No;Yes;No;No;No;No;Yes;No;No;Yes;No;Yes;F;"[41; 60]";Accredited prof;No;Right
A lot;Somewhat against;Somewhat against;Somewhat against;No;No;No;No;No;No;No;Yes;Yes;No;Yes;Yes;H;> 60;Retired;No;Greens
A lot;Somewhat against;Somewhat against;Somewhat against;No;No;No;Yes;No;No;Yes;Yes;No;No;No;Yes;H;> 60;Retired;No;Liberal
A lot;Somewhat against;Totally opposed;Somewhat against;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;H;"[26; 40]";Civil servant;No;Extreme left
A little;Somewhat against;Somewhat against;Somewhat against;No;No;No;No;No;No;No;Yes;Yes;No;No;Yes;F;"[26; 40]";Civil servant;No;Left
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;H;"[41; 60]";Accredited prof;No;Greens
A lot;Somewhat against;Totally opposed;Totally opposed;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;H;"[41; 60]";Civil servant;No;Right
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;F;"[41; 60]";Retired;No;Left
Certain extent;Totally opposed;Totally opposed;Totally opposed;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;F;< 25;Student;No;Left
A lot;Somewhat against;Somewhat against;Somewhat against;No;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;H;"[41; 60]";Civil servant;Yes;Left
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;H;< 25;Student;Yes;Left
A little;Somewhat against;Totally opposed;Totally opposed;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;H;"[26; 40]";Senior management ;No;Left
A lot;Totally opposed;Totally opposed;Totally opposed;No;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;H;> 60;Manual laborour;No;Right
Certain extent;Favourable;Favourable;Favourable;No;No;No;Yes;No;No;Yes;Yes;No;Yes;No;No;F;> 60;Retired;No;Left
Certain extent;Favourable;Favourable;Favourable;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;F;> 60;Retired;No;Liberal
A lot;Totally opposed;Totally opposed;Totally opposed;Yes;No;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;H;"[41; 60]";Senior management ;No;Greens
Not at all;Somewhat against;Totally opposed;Totally opposed;No;No;No;No;Yes;No;Yes;Yes;No;No;No;Yes;F;"[41; 60]";Retailer ;No;Right
A lot;Somewhat against;Favourable;Favourable;No;No;Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;F;< 25;Student;Yes;Left
A lot;Somewhat against;Somewhat against;Somewhat against;No;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;Yes;F;< 25;Student;Yes;Left
A lot;Favourable;Favourable;Favourable;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;H;< 25;Student;Yes;Left
Certain extent;Totally opposed;Totally opposed;Totally opposed;No;No;Yes;No;No;No;No;Yes;No;No;No;Yes;F;"[26; 40]";Other;No;Left
Certain extent;Somewhat against;Favourable;Favourable;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;Yes;F;< 25;Student;Yes;Liberal
Certain extent;Favourable;Favourable;Favourable;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;Yes;H;< 25;Student;Yes;Left
Certain extent;Somewhat against;Somewhat against;Somewhat against;No;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;F;< 25;Student;No;Extreme left
Certain extent;Somewhat against;Favourable;Favourable;No;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;No;No;H;< 25;Student;Yes;Liberal
A lot;Totally opposed;Totally opposed;Totally opposed;No;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;Yes;H;"[26; 40]";Other;No;Left
A little;Favourable;Somewhat against;Somewhat against;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;Yes;F;< 25;Student;No;Left
Certain extent;Totally opposed;Totally opposed;Totally opposed;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;F;< 25;Student;No;Left
A lot;Very favourable;Very favourable;Totally opposed;Yes;No;No;No;No;Yes;No;Yes;Yes;No;No;Yes;F;< 25;Student;No;Left
A little;Somewhat against;Somewhat against;Favourable;No;Yes;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;H;"[26; 40]";Student;No;Left
Certain extent;Favourable;Favourable;Favourable;No;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;No;F;< 25;Student;Yes;Liberal
A lot;Totally opposed;Somewhat against;Somewhat against;No;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;H;"[41; 60]";Senior management ;Yes;Liberal
A lot;Totally opposed;Totally opposed;Totally opposed;No;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;F;"[41; 60]";Civil servant;No;Left
Certain extent;Favourable;Somewhat against;Favourable;No;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;H;> 60;Retired;No;Liberal
Certain extent;Somewhat against;Somewhat against;Favourable;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;F;"[41; 60]";Accredited prof;No;Right
