"Wrapping_CM","Green_CM","Floral_CM","Citrus_CM","Vanilla_CM","Woody_CM","Fruity_CR","Greedy_CR","Oriental_CR","Citrus_CR","Floral_CR","Vanilla_CR","Wrapping_CR","Citrus_GV","Greedy_GV","Woody_GV","Vanilla_GV","Fruity_GV","Green_GV","Wrapping_GV","Oriental_GV","Marine_GV","Green_MLD","Marine_MLD","Oriental_MLD","Woody_MLD","Floral_MLD","Vanilla_MLD","Wrapping_MLD","Citrus_MLD","Fruity_MLD","Greedy_MLD","Marine_NMA","Citrus_NMA","Woody_NMA","Oriental_NMA","Greedy_NMA","Floral_NMA","Fruity_NMA","Wrapping_NMA","Oriental_PR","Wrapping_PR","Floral_PR","Woody_PR","Greedy_PR","Marine_PR","Fruity_PR","Citrus_PR","Greedy_RL","Fruity_RL","Marine_RL","Green_SD","Wrapping_SD","Marine_SD","Citrus_SD","Oriental_SM","Floral_SM","Fruity_SM","Woody_SM","Wrapping_SM","Marine_SM","Green_SM","Citrus_SM","Wrapping_SO","Floral_SO","Greedy_SO","Vanilla_SO","Green_SO","Fruity_SO","Marine_SQ","Floral_SQ","Wrapping_SQ","Greedy_SQ","Green_SQ","Vanilla_ST","Citrus_ST","Wrapping_ST","Woody_ST","Fruity_ST","Oriental_ST"
"Angel",7.45,0,1.6,8.88178419700125e-16,6,0.45,6.6,7.1,0.150000000000002,0.9,4.1,7.05,4,2.7,4.9,3.3,3.95,1.55,5.55111512312578e-17,4.85,4.7,0.0500000000000002,6.66133814775094e-16,1.11022302462516e-15,4.25,0.5,0.100000000000009,9.2,5,1.77635683940025e-15,0.150000000000008,9.85,0.100000000000001,-1.73472347597681e-17,4.3,9.5,4.2,5.4,3.5,9.3,7.64999999999999,8.65,2.45,0.5,9.65,0.150000000000001,0.950000000000002,0.15,10,0.299999999999999,0.05,0.0999999999999992,9.75,0.1,0.0499999999999996,9.65,2.3,2.05,1.2,9.65,0.0499999999999998,0.0499999999999998,0.0500000000000004,8.55,3.35,9.85,3,0.4,3.05,0.6,5.1,3.45,5.75,0.45,9.8,6.93889390390723e-17,10,2.22044604925031e-16,1.77635683940025e-15,0.4
"Aromatics Elixir",5.3,1.11022302462516e-15,3.25,0,0.600000000000001,2.1,0.249999999999995,0.149999999999999,7.9,0.650000000000001,4.75,0.649999999999998,7.95,0.95,0.0999999999999988,4.35,0.1,0.400000000000002,4.16333634234434e-17,5.45,5.1,0.15,0.95,-4.44089209850063e-16,4.6,0.5,1.5,-1.33226762955019e-15,9.6,0.100000000000001,1.77635683940025e-15,0,0.199999999999999,0.2,3,6.7,0.050000000000002,9.25,4.44089209850063e-16,8.65,8.2,9.25,3.05,3.25,1.15,-1.66533453693773e-16,4,0.2,0.0500000000000007,-2.22044604925031e-15,1.04083408558608e-17,0.149999999999997,7.45,0.15,4.2,9.4,3.7,0.5,1.45,8.75,0.0499999999999998,0.099999999999999,0,9.2,4.65,0.0999999999999996,1.6,1.3,0.549999999999999,0.35,2.75,2.95,0.3,0.2,1.85,0,8.5,4.7,1.1,9.1
"Chanel N5",9.2,0.850000000000001,6.2,-6.66133814775094e-16,0.750000000000001,3.88578058618805e-16,-1.77635683940025e-15,0.0999999999999988,8.54999999999999,0.150000000000001,7.45,0.450000000000004,7.95,0.650000000000002,0.299999999999999,1.35,0.149999999999999,0.500000000000002,0.2,6.6,2.75,1,0.75,0.0999999999999996,1,0.1,5.3,0.0499999999999936,8.4,0.100000000000001,1.77635683940025e-15,-2.66453525910038e-15,0.0999999999999999,1.04083408558608e-17,0.250000000000002,8.8,3.75,6.3,-4.44089209850063e-16,8.9,3.3,9.1,8.2,0.700000000000001,0.350000000000003,0.2,2.2,0.25,-4.44089209850063e-16,-1.77635683940025e-15,2.08166817117217e-17,0.0999999999999992,5.4,0.1,6.55,0.350000000000001,7.55,0.65,0.1,8.8,0.0499999999999997,0.1,2,9.65,6.45,0.95,0.100000000000002,0.15,2.05,0.1,3.85,2.35,1.05,0.95,4.3,8.32667268468867e-17,8.6,-8.88178419700125e-16,4.35,8.2
"Cinéma",9.1,0.45,6.05,0.5,6.75,-1.11022302462516e-16,3.45,4.3,0.149999999999999,0.9,7.2,4,1.75,3.85,7,0.15,0.149999999999999,7.90000000000001,-3.46944695195361e-17,4.3,5.55,-5.55111512312578e-17,0.4,7.7715611723761e-16,6,-3.88578058618805e-16,3.8,8.75,8.50000000000001,0.349999999999998,8.5,5.35,3.55,1.38777878078145e-17,3.4,4.9,3.4,8.35,3.2,7.75,4,6,6.75,0.750000000000001,0.749999999999996,0.250000000000001,0.250000000000001,0.1,2.5,6.5,0.1,0.0999999999999996,8.9,0.1,0.099999999999999,2.85,4.3,3.4,0.0500000000000003,6.75,0.0499999999999996,0.05,0.0500000000000007,3.95,8.05,2.35,1.25,0.75,6.7,1.6,2.7,2.35,1.35,0.15,2.95,1.38777878078145e-17,4.44089209850063e-16,1.25,9,8.88178419700125e-16
"Coco Mademoiselle",8.9,0.85,8.8,3.05,0.4,0.35,1.9,1.25,9.35,0.15,9.55,1.1,3.2,2.25,5.65,0.25,0.099999999999999,7.15,0.05,5.85,7.75,5.55111512312578e-17,0.4,0.55,0.500000000000001,1.94289029309402e-16,9.85,1.33226762955019e-15,0.3,0.35,9.95,0.650000000000001,4.5,6.93889390390723e-18,3.3,4.1,7.55,9.65,7.5,5.45,2.6,4.1,6.55,0.7,3.2,0.2,0.95,0.250000000000001,5.05,5.35,-1.73472347597681e-17,0.150000000000001,8.05,0.0500000000000001,0.0500000000000003,0.0500000000000003,8.45,2.25,0.1,4.1,0.0499999999999998,1.1,3.75,6.15,9,0.499999999999999,2.05,0.550000000000001,7.85,0.65,4.2,2.6,3.1,0.15,1.45,8.32667268468867e-17,0.850000000000002,1.22124532708767e-15,9.1,2.4
"J'adore EP",7.8,4.95,9.15,2.05,0.75,0,8.85,1.5,4.2,0.2,9.25,0.6,4.6,6.8,2,0.200000000000001,0.199999999999999,5.45,2.77555756156289e-17,3.95,3.1,2.22044604925031e-16,1.35,3.95,0.0999999999999983,0.5,9.9,1.1,1.65,5.25,9.8,1.35,3.7,4.5102810375397e-17,4.6,3.95,0.150000000000001,10,3.85,7.65,0.650000000000003,3.15,7.05,1.05,0.650000000000001,0.75,4.9,0.45,4.44089209850063e-16,5,2.42861286636753e-17,6.15,2.6,0.15,0.100000000000001,0.1,7.7,4.25,0.0500000000000002,5.55,2.85,2,1.3,2.55,7.6,0.45,0.6,0.4,9.2,0.450000000000001,2.95,2.9,2.3,0.65,4.44089209850063e-16,-4.16333634234434e-17,-2.66453525910038e-15,1.11022302462516e-15,9,-1.33226762955019e-15
"J'adore ET",6.05,1.9,9.25,1.45,0.25,0,7.8,3,0.149999999999999,0.7,8.4,0.499999999999998,1.4,3.65,4.3,0.5,0.25,4.9,0.1,2.85,3,1,0.8,0.6,0.100000000000005,0.499999999999999,9.8,0.500000000000005,1.35000000000001,2.95,9.7,3.4,0.0500000000000003,6.93889390390723e-18,5.6,6.25,2.8,9.5,0.550000000000002,8.25,0.800000000000003,2.85,6.3,0.65,0.850000000000001,0.0500000000000002,4.35,3.2,8.88178419700125e-16,2.7,-5.20417042793042e-17,5.75,2.55,0.05,0.0999999999999996,0.0499999999999994,7.45,4.75,0.1,4.05,0.0499999999999999,4.25,0.45,7.9,8.35,2,0.65,0.4,9,0.500000000000001,4.6,2.65,2.1,0.75,4.85,-2.77555756156289e-17,-3.10862446895044e-15,1.11022302462516e-16,9.35,-4.44089209850063e-16
"L'instant",8.3,0.250000000000001,5.95,2.45,7.65,1.11022302462516e-16,7.45,2,0.399999999999995,0.800000000000001,8.15,7.9,1.5,2.9,1.95,0.15,0.249999999999999,4.9,0.05,1.3,2.6,0.0499999999999998,2.22044604925031e-16,0.5,8.45,2.77555756156289e-17,8.45,6.65,9.65,6.66133814775094e-16,3.2,1.2,4.65,0,3.75,4,4.3,9.7,8.25,6.9,2.75,5.6,5.7,0.500000000000001,0.649999999999997,0.3,1.3,0.45,5.9,1.45,1.38777878078145e-17,1.33226762955019e-15,7.5,0.1,0.400000000000002,6,5.3,0.649999999999999,0.0500000000000002,6.65,0.0999999999999999,-2.22044604925031e-16,0.0499999999999998,9,7.4,4.2,4.2,0.3,2.75,0.25,5.5,3.7,3.5,0.25,2.1,5.55111512312578e-17,-1.33226762955019e-15,2.22044604925031e-16,8.15,2.66453525910038e-15
"Lolita Lempicka",9.35,1.45,8.1,2.4,3.1,0,7.85,9.05000000000001,0.249999999999999,1,5.6,9.2,3.85,1.45,10,0.0999999999999992,10,7.1,0,5.05,3.4,-1.11022302462516e-16,0.0499999999999997,2.22044604925031e-16,2,3.33066907387547e-16,1.6,9,9.05,2.22044604925031e-16,0.650000000000003,8.1,0.0499999999999996,0,3.15,9.65,10,-2.66453525910038e-15,2.65,9.8,4.85,7.7,1.6,0.85,9.25,0.2,1.95,0.25,9.3,0.149999999999999,0.05,0.0999999999999992,9.95,0.15,0.1,8.35,3.8,1.95,0.55,9.25,-3.33066907387547e-16,-8.88178419700125e-16,-4.44089209850063e-16,7.65,4.2,9.7,6.3,0.85,5.05,0.3,5.7,5.3,5.5,0.15,10,-8.32667268468867e-17,4.9,2.22044604925031e-16,5.32907051820075e-15,1.33226762955019e-15
"Pleasures",3.6,7.1,8.35000000000001,1,1.33226762955019e-15,4.44089209850063e-16,7.8,1.45,0.15,3.15,7.9,0.3,2.35,2.75,2.05,0,0.3,0.950000000000001,0.25,1.45,2.55,2.6,1.3,4.9,0.85,2.77555756156289e-17,9.1,0.0499999999999994,0.15,0.8,8,8.88178419700125e-16,0.600000000000001,1.38777878078145e-17,2.85,8,1,9.45,4.15,7.95,0.5,2.75,5.65,0.8,0.35,0.65,1.95,0.2,-1.77635683940025e-15,5.15,0.05,7.4,1.2,0.15,0.25,0.0500000000000007,7.25,2.55,0.0500000000000002,2,0.0499999999999998,6.55,0.15,6.25,9.55,0.45,0.500000000000001,1.55,6.45,0.4,5.8,3.8,1.55,1.3,-1.77635683940025e-15,1.1,8.88178419700125e-16,4.44089209850063e-16,6.3,0
"Pure Poison",8.7,1.15,7.7,2.25,5.7,4.9960036108132e-16,2.2,0.15,5.45,0.2,7.25,0.35,6.35,0.499999999999999,0.65,2.65,2.65,4.85,-4.16333634234434e-17,6.25,8.25,5.55111512312578e-16,0.0500000000000003,0.25,0.100000000000001,0.0500000000000002,6.45,2.45,9.6,0.250000000000001,1.2,2.45,3.7,-3.81639164714898e-17,3.3,4.05,0.349999999999999,8.5,4.95,4.6,0.750000000000001,8.85,7.4,0.5,1.15,0.7,0.8,0.25,0.15,5.1,0.05,4.15,3.85,0.1,0.450000000000001,1.77635683940025e-15,8.15,5.3,0.0500000000000005,2.25000000000001,0.549999999999999,1.4,1.65,4.6,9.25,2.1,1.45,0.1,5,0.9,7.1,4.6,2.5,0.1,0.950000000000002,8.32667268468867e-17,3.10862446895044e-15,0.7,8.75,0.850000000000001
"Shalimar",6.7,1.55431223447522e-15,5.30000000000001,-2.22044604925031e-16,2.85,2.6,0.399999999999997,0.0499999999999985,9,0,8.3,0.899999999999997,7.95,0.650000000000001,-8.88178419700125e-16,3.45,2,0.650000000000001,1.38777878078145e-17,5.75,2.7,0.25,0.15,-4.44089209850063e-16,9.05,0.15,2.1,0.900000000000003,9.4,2.22044604925031e-16,-8.88178419700125e-16,0.100000000000006,0.400000000000001,-1.04083408558608e-17,1.8,9.9,5.65,5.85,0.200000000000001,9.45,4.95000000000001,8.25,2.75000000000001,1.8,0.950000000000004,3.88578058618805e-16,2.25,0.0999999999999993,1.33226762955019e-15,1.6,2.08166817117217e-17,1.35,6.1,0.1,6.25,5.55,6,1.1,0.5,4.65,-2.77555756156289e-16,4.44089209850063e-16,0.0500000000000005,9.45,4.25,1.3,1.4,0.75,0.849999999999998,0.4,0.950000000000001,1.7,1.6,0.1,7.3,2.77555756156289e-17,9.75,4.5,1.95,9.65
